rank,mark,athlete,country,date_of_birth,race_position,venue,result_date,mark_seconds,result_year,decade,age_at_race
1,3:48.68,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2025-07-05,228.68,2025,2020,31.482546201232033
2,3:49.04,Faith Kipyegon,KEN,1994-01-10,1,Paris,2024-07-07,229.04,2024,2020,30.48870636550308
3,3:49.11,Faith Kipyegon,KEN,1994-01-10,1,Firenze,2023-06-02,229.11,2023,2020,29.39082819986311
4,3:50.07,Genzebe Dibaba,ETH,1991-02-08,1,Monaco,2015-07-17,230.07,2015,2010,24.435318275154003
5,3:50.30,Gudaf Tsegay,ETH,1997-06-23,1,Xiamen,2024-04-20,230.3,2024,2020,26.82546201232033
6,3:50.37,Faith Kipyegon,KEN,1994-01-10,1,Monaco,2022-08-10,230.37,2022,2020,28.580424366872005
7,3:50.46,Qu Yunxia,CHN,1972-12-25,1,Beijing,1993-09-11,230.46,1993,1990,20.711841204654345
8,3:50.62,Gudaf Tsegay,ETH,1997-06-23,1,Chorzów,2025-08-16,230.62,2025,2020,28.147843942505133
9,3:50.72,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2023-09-16,230.72,2023,2020,29.68104038329911
10,3:50.83,Jessica Hull,AUS,1996-10-22,2,Paris,2024-07-07,230.82999999999998,2024,2020,27.707049965776864
11,3:50.98,Jiang Bo,CHN,1977-03-13,1,Shanghai,1997-10-18,230.98,1997,1990,20.59958932238193
12,3:51.07,Faith Kipyegon,KEN,1994-01-10,1,Monaco,2021-07-09,231.07,2021,2020,27.49349760438056
13,3:51.29,Faith Kipyegon,KEN,1994-01-10,1,Saint-Denis,2024-08-10,231.29,2024,2020,30.581793292265573
14,3:51.34,Lang Yinglai,CHN,1979-08-22,2,Shanghai,1997-10-18,231.34,1997,1990,18.157426420260094
15,3:51.41+,Faith Kipyegon,KEN,1994-01-10,1,Monaco,2023-07-21,231.41,2023,2020,29.52498288843258
16,3:51.92,Wang Junxia,CHN,1973-01-09,2,Beijing,1993-09-11,231.92000000000002,1993,1990,20.670773442847366
17,3:51.95,Sifan Hassan,NED,1993-01-01,1,Ad-Dawhah,2019-10-05,231.95,2019,2010,26.757015742642025
18,3:52.15,Faith Kipyegon,KEN,1994-01-10,1,Tokyo,2025-09-16,232.15,2025,2020,31.682409308692677
19,3:52.47,Tatyana Kazankina,RUS,1951-12-17,1,Zürich,1980-08-13,232.47,1980,1980,28.657084188911703
20,3:52.56,Jessica Hull,AUS,1996-10-22,2,Saint-Denis,2024-08-10,232.56,2024,2020,27.800136892539356
21,3:52.59,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2022-05-28,232.59,2022,2020,28.37782340862423
22,3:52.61,Georgia Hunter Bell,GBR,1993-10-17,3,Saint-Denis,2024-08-10,232.61,2024,2020,30.8145106091718
23,3:52.67,Jessica Hull,AUS,1996-10-22,2,Eugene,2025-07-05,232.67000000000002,2025,2020,28.700889801505816
24,3:52.75,Diribe Welteji,ETH,2002-05-13,4,Saint-Denis,2024-08-10,232.75,2024,2020,22.245037645448324
25,3:52.89,Faith Kipyegon,KEN,1994-01-10,1,Roma,2024-08-30,232.89,2024,2020,30.636550308008214
26,3:52.96,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2022-07-18,232.96,2022,2020,28.517453798767967
27,3:53.11,Faith Kipyegon,KEN,1994-01-10,1,Tokyo,2021-08-06,233.11,2021,2020,27.57015742642026
28,3:53.22,Birke Haylom,ETH,2006-01-06,2,Xiamen,2024-04-20,233.22,2024,2020,18.286105407255306
29,3:53.23,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2021-08-21,233.23,2021,2020,27.61122518822724
30,3:53.37,Laura Muir,GBR,1993-05-09,5,Saint-Denis,2024-08-10,233.37,2024,2020,31.255304585900067
31,3:53.60,Sifan Hassan,NED,1993-01-01,2,Monaco,2021-07-09,233.6,2021,2020,28.517453798767967
32,3:53.63,Sifan Hassan,NED,1993-01-01,1,Firenze,2021-06-10,233.63,2021,2020,28.438056125941138
33,3:53.75,Diribe Welteji,ETH,2002-05-13,1,Eugene,2024-05-25,233.75,2024,2020,22.034223134839152
34,3:53.79,Laura Muir,GBR,1993-05-09,3,Paris,2024-07-07,233.79,2024,2020,31.16221765913758
35,3:53.91,Yin Lili,CHN,1979-11-11,3,Shanghai,1997-10-18,233.91,1997,1990,17.935660506502394
35,3:53.91,Faith Kipyegon,KEN,1994-01-10,2,Firenze,2021-06-10,233.91,2021,2020,27.41409993155373
37,3:53.93,Diribe Welteji,ETH,2002-05-13,2,Eugene,2023-09-16,233.93,2023,2020,21.34428473648186
38,3:53.96,Paula Ivan,ROU,1963-07-20,1,Seoul,1988-10-01,233.96,1988,1980,25.201916495550993
39,3:53.97,Lan Lixin,CHN,1979-02-14,4,Shanghai,1997-10-18,233.97,1997,1990,18.67488021902806
40,3:53.98A,Faith Kipyegon,KEN,1994-01-10,1,Nairobi,2024-06-15,233.98,2024,2020,30.428473648186174
41,3:54.01,Gudaf Tsegay,ETH,1997-06-23,1,Chorzów,2021-06-20,234.01,2021,2020,23.991786447638603
42,3:54.03,Gudaf Tsegay,ETH,1997-06-23,1,Rabat,2023-05-28,234.03,2023,2020,25.927446954141
43,3:54.11,Genzebe Dibaba,ETH,1991-02-08,1,Barcelona,2015-07-08,234.11,2015,2010,24.410677618069816
44,3:54.16,Freweyni Hailu,ETH,2001-02-12,2,Roma,2024-08-30,234.16,2024,2020,23.54551676933607
45,3:54.22,Faith Kipyegon,KEN,1994-01-10,2,Ad-Dawhah,2019-10-05,234.22,2019,2010,25.73305954825462
46,3:54.23,Olga Dvirna,RUS,1953-02-11,1r1,Kyiv,1982-07-27,234.23,1982,1980,29.453798767967147
47,3:54.32,Gudaf Tsegay,ETH,1997-06-23,2,Eugene,2022-05-28,234.32,2022,2020,24.928131416837783
48,3:54.38,Gudaf Tsegay,ETH,1997-06-23,3,Ad-Dawhah,2019-10-05,234.38,2019,2010,22.28336755646817
49,3:54.50,Laura Muir,GBR,1993-05-09,2,Tokyo,2021-08-06,234.5,2021,2020,28.243668720054757
50,3:54.52,Zhang Ling,CHN,1980-04-13,5,Shanghai,1997-10-18,234.52,1997,1990,17.51403148528405
50,3:54.52,Gudaf Tsegay,ETH,1997-06-23,2,Eugene,2022-07-18,234.52,2022,2020,25.06776180698152
52,3:54.73,Beatrice Chebet,KEN,2000-03-05,2,Chorzów,2025-08-16,234.73,2025,2020,25.44832306639288
53,3:54.75,Faith Kipyegon,KEN,1994-01-10,1,Bruxelles,2024-09-14,234.75,2024,2020,30.677618069815196
53,3:54.75+,Gudaf Tsegay,ETH,1997-06-23,1,London,2025-07-19,234.75,2025,2020,28.071184120465436
55,3:54.76,Georgia Hunter Bell,GBR,1993-10-17,3,Eugene,2025-07-05,234.76,2025,2020,31.71526351813826
56,3:54.79,Birke Haylom,ETH,2006-01-06,3,Roma,2024-08-30,234.79,2024,2020,18.647501711156742
57,3:54.87,Hirut Meshesha,ETH,2001-01-20,1,Chorzów,2023-07-16,234.87,2023,2020,22.483230663928815
57,3:54.87,Faith Kipyegon,KEN,1994-01-10,1,Budapest,2023-08-22,234.87,2023,2020,29.61259411362081
59,3:54.92,Dorcus Ewoi,KEN,1996-10-02,2,Tokyo,2025-09-16,234.92000000000002,2025,2020,28.955509924709105
60,3:54.93,Birke Haylom,ETH,2006-01-06,3,Chorzów,2023-07-16,234.93,2023,2020,17.522245037645447
61,3:54.98,Jessica Hull,AUS,1996-10-22,4,Roma,2024-08-30,234.98,2024,2020,27.854893908281998
62,3:54.99,Shelby Houlihan,USA,1993-02-08,4,Ad-Dawhah,2019-10-05,234.99,2019,2010,26.652977412731005
63,3:55.0,Tatyana Kazankina,RUS,1951-12-17,1,Moskva,1980-07-06,235.0,1980,1980,28.553045859000683
64,3:55.01,Lan Lixin,CHN,1979-02-14,1h2,Shanghai,1997-10-17,235.01,1997,1990,18.67214236824093
65,3:55.07,Dong Yanmei,CHN,1977-02-16,6,Shanghai,1997-10-18,235.07,1997,1990,20.66803559206023
66,3:55.08,Diribe Welteji,ETH,2002-05-13,3,Chorzów,2023-07-16,235.07999999999998,2023,2020,21.17453798767967
67,3:55.10,Diribe Welteji,ETH,2002-05-13,1s2,Saint-Denis,2024-08-08,235.1,2024,2020,22.239561943874058
68,3:55.14,Faith Kipyegon,KEN,1994-01-10,1s2,Budapest,2023-08-20,235.14,2023,2020,29.607118412046542
69,3:55.16,Laura Muir,GBR,1993-05-09,3,Eugene,2023-09-16,235.16,2023,2020,30.354551676933607
69,3:55.16,Jessica Hull,AUS,1996-10-22,3,Tokyo,2025-09-16,235.16,2025,2020,28.90075290896646
71,3:55.18,Diribe Welteji,ETH,2002-05-13,2s2,Budapest,2023-08-20,235.18,2023,2020,21.270362765229294
72,3:55.22,Laura Muir,GBR,1993-05-09,1,Saint-Denis,2016-08-27,235.22,2016,2010,23.301848049281315
73,3:55.25,Diribe Welteji,ETH,2002-05-13,1,Westwood,2024-05-18,235.25,2024,2020,22.015058179329227
73,3:55.25,Diribe Welteji,ETH,2002-05-13,2,Bruxelles,2024-09-14,235.25,2024,2020,22.340862422997947
73,3:55.25,Nelly Chepchirchir,KEN,2003-06-04,4,Tokyo,2025-09-16,235.25,2025,2020,22.286105407255306
76,3:55.30,Hassiba Boulmerka,ALG,1968-07-10,1,Barcelona,1992-08-08,235.3,1992,1990,24.079397672826833
76,3:55.30+,Sifan Hassan,NED,1993-01-01,1,Monaco,2019-07-12,235.3,2019,2010,26.524298425735797
78,3:55.33,Süreyya Ayhan-Kop,TUR,1978-09-06,1,Bruxelles,2003-09-05,235.32999999999998,2003,2000,24.996577686516083
78,3:55.33,Dominique Hiltz,USA,1994-10-23,1,Eugene,2024-06-30,235.32999999999998,2024,2020,29.686516084873375
80,3:55.34,Laura Muir,GBR,1993-05-09,1,Bruxelles,2023-09-08,235.34,2023,2020,30.33264887063655
81,3:55.38,Qu Yunxia,CHN,1972-12-25,2h2,Shanghai,1997-10-17,235.38,1997,1990,24.810403832991103
81,3:55.38,Laura Muir,GBR,1993-05-09,3,Eugene,2022-07-18,235.38,2022,2020,29.190965092402465
83,3:55.40,Jessica Hull,AUS,1996-10-22,2s2,Saint-Denis,2024-08-08,235.4,2024,2020,27.794661190965094
84,3:55.47,Zhang Ling,CHN,1980-04-13,3h2,Shanghai,1997-10-17,235.47,1997,1990,17.51129363449692
84,3:55.47,Genzebe Dibaba,ETH,1991-02-08,1,Rabat,2019-06-16,235.47,2019,2010,28.35044490075291
86,3:55.48,Sifan Hassan,NED,1993-01-01,3s2,Budapest,2023-08-20,235.48,2023,2020,30.63107460643395
86,3:55.48,Freweyni Hailu,ETH,2001-02-12,2,Westwood,2024-05-18,235.48,2024,2020,23.260780287474333
88,3:55.56,Birke Haylom,ETH,2006-01-06,1,Shaoxing,2026-05-16,235.56,2026,2020,20.355920602327174
89,3:55.59,Laura Muir,GBR,1993-05-09,3,Firenze,2021-06-10,235.59,2021,2020,28.087611225188226
90,3:55.60,Süreyya Ayhan-Kop,TUR,1978-09-06,1,Zürich,2003-08-15,235.6,2003,2000,24.93908281998631
91,3:55.63,Georgia Hunter Bell,GBR,1993-10-17,1,Paris,2026-06-28,235.63,2026,2020,32.695414099931554
92,3:55.64+,Jessica Hull,AUS,1996-10-22,2,London,2025-07-19,235.64,2025,2020,28.739219712525667
93,3:55.68,Yuliya Chizhenko,RUS,1979-08-30,1,Saint-Denis,2006-07-08,235.68,2006,2000,26.855578370978783
93,3:55.68,Freweyni Hailu,ETH,2001-02-12,4,Eugene,2023-09-16,235.68,2023,2020,22.590006844626966
95,3:55.69,Diribe Welteji,ETH,2002-05-13,2,Budapest,2023-08-22,235.69,2023,2020,21.27583846680356
96,3:55.71,Tsige Duguma,ETH,2001-02-23,2,Shaoxing,2026-05-16,235.71,2026,2020,25.22381930184805
97,3:55.76,Laura Muir,GBR,1993-05-09,5,Ad-Dawhah,2019-10-05,235.76,2019,2010,26.406570841889117
98,3:55.82,Dong Yanmei,CHN,1977-02-16,4h2,Shanghai,1997-10-17,235.82,1997,1990,20.6652977412731
99,3:55.86,Sifan Hassan,NED,1993-01-01,3,Tokyo,2021-08-06,235.86,2021,2020,28.594113620807665
100,3:55.87,Ciara Mageean,IRL,1992-03-12,2,Bruxelles,2023-09-08,235.87,2023,2020,31.49075975359343
101,3:55.90,Emily MacKay,USA,1998-04-30,2,Eugene,2024-06-30,235.9,2024,2020,26.168377823408623
102,3:55.92,Freweyni Hailu,ETH,2001-02-12,2,Paris,2026-06-28,235.92000000000002,2026,2020,25.371663244353183
103,3:55.93,Sifan Hassan,NED,1993-01-01,2,Rabat,2019-06-16,235.93,2019,2010,26.45311430527036
104,3:55.94,Dominique Hiltz,USA,1994-10-23,1,Bruxelles,2025-08-22,235.94,2025,2020,30.830937713894592
105,3:55.96,Dominique Hiltz,USA,1994-10-23,4,Eugene,2025-07-05,235.96,2025,2020,30.699520876112253
106,3:55.97,Jessica Hull,AUS,1996-10-22,2,Eugene,2024-05-25,235.97,2024,2020,27.589322381930184
107,3:55.99,Elinor St. Pierre,USA,1995-02-20,3,Eugene,2024-06-30,235.99,2024,2020,29.357973990417523
108,3:56.0,Tatyana Kazankina,RUS,1951-12-17,1,Podolsk,1976-06-28,236.0,1976,1970,24.531143052703626
108,3:56.00,Sifan Hassan,NED,1993-01-01,3,Budapest,2023-08-22,236.0,2023,2020,30.636550308008214
108,3:56.00,Elinor St. Pierre,USA,1995-02-20,3,Eugene,2024-05-25,236.0,2024,2020,29.259411362080765
108,3:56.00,Georgia Hunter Bell,GBR,1993-10-17,3,Chorzów,2025-08-16,236.0,2025,2020,31.83025325119781
112,3:56.05,Sifan Hassan,NED,1993-01-01,2,Monaco,2015-07-17,236.05,2015,2010,22.537987679671456
113,3:56.07,Susan Ejore-Sanders,KEN,1995-11-09,6,Saint-Denis,2024-08-10,236.07,2024,2020,28.752908966461327
114,3:56.10,Dominique Hiltz,USA,1994-10-23,4,Chorzów,2025-08-16,236.1,2025,2020,30.8145106091718
115,3:56.12,Gabriela DeBues-Stafford,CAN,1995-09-13,6,Ad-Dawhah,2019-10-05,236.12,2019,2010,24.060232717316907
115,3:56.12,Abbey Caldwell,AUS,2001-07-03,3,Shaoxing,2026-05-16,236.12,2026,2020,24.867898699520875
117,3:56.14,Zamira Zaytseva,UZB,1953-02-16,2r1,Kyiv,1982-07-27,236.14,1982,1980,29.440109514031484
117,3:56.14,Sifan Hassan,NED,1993-01-01,1,Hengelo,2017-06-11,236.14,2017,2010,24.44079397672827
117,3:56.14,Nelly Chepchirchir,KEN,2003-06-04,5,Roma,2024-08-30,236.14,2024,2020,21.240246406570844
120,3:56.17,Dominique Hiltz,USA,1994-10-23,3s2,Saint-Denis,2024-08-08,236.17000000000002,2024,2020,29.793292265571527
121,3:56.18,Maryam Yusuf Jamal,BRN,1984-09-16,1,Rieti,2006-08-27,236.18,2006,2000,21.94387405886379
122,3:56.22,Paula Ivan,ROU,1963-07-20,1,Zürich,1988-08-17,236.22,1988,1980,25.078713210130047
122,3:56.22,Sifan Hassan,NED,1993-01-01,1,Roma,2017-06-08,236.22,2017,2010,24.432580424366872
124,3:56.24,Agathe Guillemot,FRA,1999-07-11,3,Paris,2026-06-28,236.24,2026,2020,26.965092402464066
125,3:56.28,Genzebe Dibaba,ETH,1991-02-08,1,Roma,2019-06-06,236.28,2019,2010,28.32306639288159
125,3:56.28,Freweyni Hailu,ETH,2001-02-12,3,Monaco,2021-07-09,236.28,2021,2020,20.40246406570842
127,3:56.29,Shannon Rowbury,USA,1984-09-19,3,Monaco,2015-07-17,236.29,2015,2010,30.822724161533195
128,3:56.30,Freweyni Hailu,ETH,2001-02-12,5,Chorzów,2025-08-16,236.3,2025,2020,24.50650239561944
129,3:56.31,Liu Dong,CHN,1973-12-24,5h2,Shanghai,1997-10-17,236.31,1997,1990,23.813826146475016
130,3:56.33,Linden Hall,AUS,1991-06-20,2,Bruxelles,2025-08-22,236.32999999999998,2025,2020,34.17385352498289
131,3:56.35,Laura Muir,GBR,1993-05-09,4,Eugene,2024-05-25,236.35,2024,2020,31.044490075290895
132,3:56.36,Laura Muir,GBR,1993-05-09,4s2,Budapest,2023-08-20,236.36,2023,2020,30.28062970568104
133,3:56.38,Dominique Hiltz,USA,1994-10-23,7,Saint-Denis,2024-08-10,236.38,2024,2020,29.79876796714579
134,3:56.39,Linden Hall,AUS,1991-06-20,6,Chorzów,2025-08-16,236.39,2025,2020,34.157426420260094
135,3:56.40,Linden Hall,AUS,1991-06-20,4,Paris,2024-07-07,236.4,2024,2020,33.04859685147159
136,3:56.41,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2016-05-28,236.41,2016,2010,22.379192334017795
136,3:56.41,Gudaf Tsegay,ETH,1997-06-23,4s2,Saint-Denis,2024-08-08,236.41,2024,2020,27.12662559890486
138,3:56.43,Yelena Soboleva,RUS,1982-10-03,2,Saint-Denis,2006-07-08,236.43,2006,2000,23.761806981519506
139,3:56.50,Tatyana Pozdnyakova,UKR,1956-03-04,3r1,Kyiv,1982-07-27,236.5,1982,1980,26.39561943874059
140,3:56.54,Abeba Aregawi,ETH,1990-07-05,1,Roma,2012-05-31,236.54,2012,2010,21.905544147843944
140,3:56.54,Georgia Hunter Bell,GBR,1993-10-17,5,Paris,2024-07-07,236.54,2024,2020,30.72142368240931
142,3:56.55,Maryam Yusuf Jamal,BRN,1984-09-16,1,Roma,2009-07-10,236.55,2009,2000,24.813141683778234
143,3:56.56,Tatyana Kazankina,RUS,1951-12-17,1,Moskva,1980-08-01,236.56,1980,1980,28.62422997946612
143,3:56.56,Freweyni Hailu,ETH,2001-02-12,1,Xiamen,2023-09-02,236.56,2023,2020,22.55167693360712
145,3:56.57,Susan Ejore-Sanders,KEN,1995-11-09,5s2,Saint-Denis,2024-08-08,236.57,2024,2020,28.747433264887064
146,3:56.60,Abeba Aregawi,SWE,1990-07-05,1,Ad-Dawhah,2013-05-10,236.6,2013,2010,22.847364818617386
147,3:56.61,Ciara Mageean,IRL,1992-03-12,4,Budapest,2023-08-22,236.61,2023,2020,31.444216290212182
148,3:56.63,Nadezhda Ralldugina,RUS,1957-11-15,1,Praha,1984-08-18,236.63,1984,1980,26.757015742642025
148,3:56.63,Ciara Mageean,IRL,1992-03-12,1,Bruxelles,2022-09-02,236.63,2022,2020,30.47501711156742
150,3:56.65,Yekaterina Podkopayeva,RUS,1952-06-11,1,Rieti,1984-09-02,236.65,1984,1980,32.22724161533196
151,3:56.68,Genzebe Dibaba,ETH,1991-02-08,1,Chorzów,2018-06-08,236.68,2018,2010,27.329226557152634
152,3:56.69+,Sifan Hassan,NED,1993-01-01,1,Bruxelles,2021-09-03,236.69,2021,2020,28.670773442847366
152,3:56.69,Agathe Guillemot,FRA,1999-07-11,6s2,Saint-Denis,2024-08-08,236.69,2024,2020,25.078713210130047
154,3:56.7,Lyubov Smolka,UKR,1952-11-29,2,Moskva,1980-07-06,236.7,1980,1980,27.600273785078713
154,3:56.7,Doina Melinte,ROU,1956-12-27,1,Bucuresti,1986-07-12,236.7,1986,1980,29.53867214236824
156,3:56.72,Faith Kipyegon,KEN,1994-01-10,2,Saint-Denis,2016-08-27,236.72,2016,2010,22.628336755646817
156,3:56.72,Katie Snowden,GBR,1994-03-09,5s2,Budapest,2023-08-20,236.72,2023,2020,29.44832306639288
156,3:56.72,Nelly Chepchirchir,KEN,2003-06-04,2,Xiamen,2023-09-02,236.72,2023,2020,20.246406570841888
159,3:56.73,Laura Muir,GBR,1993-05-09,2,Roma,2019-06-06,236.73,2019,2010,26.075290896646134
160,3:56.74,Yelena Soboleva,RUS,1982-10-03,1,Athínai,2006-07-03,236.74,2006,2000,23.748117727583846
161,3:56.75,Sinclaire Johnson,USA,1998-04-13,4,Eugene,2024-06-30,236.75,2024,2020,26.21492128678987
162,3:56.77+,Svetlana Masterkova,RUS,1968-01-17,1,Zürich,1996-08-14,236.77,1996,1990,28.57494866529774
163,3:56.79,Maryam Yusuf Jamal,BRN,1984-09-16,1,Rieti,2005-08-28,236.79,2005,2000,20.947296372347708
163,3:56.79,Birke Haylom,ETH,2006-01-06,7,Chorzów,2025-08-16,236.79,2025,2020,19.60848733744011
165,3:56.8,Nadezhda Olizarenko,UKR,1953-11-28,3,Moskva,1980-07-06,236.8,1980,1980,26.60369609856263
165,3:56.80,Faith Kipyegon,KEN,1994-01-10,1s1,Tokyo,2021-08-04,236.8,2021,2020,27.564681724845997
167,3:56.82,Faith Kipyegon,KEN,1994-01-10,1,Shanghai,2016-05-14,236.82,2016,2010,22.340862422997947
168,3:56.86,Laura Muir,GBR,1993-05-09,2,Bruxelles,2022-09-02,236.86,2022,2020,29.31690622861054
169,3:56.9,Zamira Zaytseva,UZB,1953-02-16,4,Moskva,1980-07-06,236.9,1980,1980,27.38398357289528
170,3:56.91,Lyudmila Rogachova,RUS,1966-10-30,2,Barcelona,1992-08-08,236.91,1992,1990,25.7741273100616
170,3:56.91,Tatyana Tomashova,RUS,1975-07-01,1,Göteborg,2006-08-13,236.91,2006,2000,31.11841204654346
170,3:56.91,Diribe Welteji,ETH,2002-05-13,1,Chorzów,2022-08-06,236.91,2022,2020,20.23271731690623
173,3:56.92,Linden Hall,AUS,1991-06-20,5,Eugene,2023-09-16,236.92000000000002,2023,2020,32.24093086926762
174,3:56.93,Nelly Chepchirchir,KEN,2003-06-04,3,Bruxelles,2023-09-08,236.93,2023,2020,20.262833675564682
174,3:56.93,Sinclaire Johnson,USA,1998-04-13,5,Eugene,2025-07-05,236.93,2025,2020,27.227926078028748
176,3:56.94,Freweyni Hailu,ETH,2001-02-12,3,Bruxelles,2022-09-02,236.94,2022,2020,21.5523613963039
177,3:56.97,Gabriela Szabo,ROU,1975-11-14,1,Monaco,1998-08-08,236.97,1998,1990,22.732375085557837
178,3:56.98,Faith Kipyegon,KEN,1994-01-10,2,Ad-Dawhah,2013-05-10,236.98,2013,2010,19.329226557152634
178,3:56.98,Birke Haylom,ETH,2006-01-06,6,Eugene,2023-09-16,236.98,2023,2020,17.691991786447637
180,3:56.99,Jessica Hull,AUS,1996-10-22,3,Bruxelles,2024-09-14,236.99,2024,2020,27.89596167008898
180,3:56.99,Nelly Chepchirchir,KEN,2003-06-04,1,Zürich,2025-08-28,236.99,2025,2020,22.234086242299796
182,3:57.00,Sifan Hassan,NED,1993-01-01,1,Saint-Denis,2014-07-05,237.0,2014,2010,21.505817932922657
182,3:57.00,Worknesh Mesele,ETH,2001-06-10,4,Chorzów,2023-07-16,237.0,2023,2020,22.09719370294319
184,3:57.02,Nelly Chepchirchir,KEN,2003-06-04,1,Paris,2025-06-20,237.02,2025,2020,22.04517453798768
184,3:57.02,Jessica Hull,AUS,1996-10-22,2,Zürich,2025-08-28,237.02,2025,2020,28.84873374401095
186,3:57.03,Liu Jing,CHN,1971-02-03,6h2,Shanghai,1997-10-17,237.03,1997,1990,26.702258726899384
187,3:57.04,Faith Kipyegon,KEN,1994-01-10,1,Bruxelles,2017-09-01,237.04,2017,2010,23.641341546885695
188,3:57.05,Svetlana Guskova,MDA,1959-08-19,4r1,Kyiv,1982-07-27,237.05,1982,1980,22.937713894592743
188,3:57.05,Helen Obiri,KEN,1989-12-13,1,Eugene,2014-05-31,237.05,2014,2010,24.462696783025326
190,3:57.08,Qu Yunxia,CHN,1972-12-25,3,Barcelona,1992-08-08,237.07999999999998,1992,1990,19.619438740588638
190,3:57.08,Sifan Hassan,NED,1993-01-01,1,Zürich,2019-08-29,237.07999999999998,2019,2010,26.65571526351814
190,3:57.08,Diribe Welteji,ETH,2002-05-13,1,Chorzów,2024-08-25,237.07999999999998,2024,2020,22.286105407255306
190,3:57.08,Dominique Hiltz,USA,1994-10-23,5,Tokyo,2025-09-16,237.07999999999998,2025,2020,30.899383983572896
194,3:57.09,Laura Muir,GBR,1993-05-09,2,Firenze,2023-06-02,237.09,2023,2020,30.064339493497606
195,3:57.10,Sifan Hassan,NED,1993-01-01,1,Paris,2017-07-01,237.1,2017,2010,24.49555099247091
196,3:57.11,Svetlana Masterkova,RUS,1968-01-17,2,Monaco,1998-08-08,237.11,1998,1990,30.55715263518138
197,3:57.12,Mary Slaney,USA,1958-08-04,1,Stockholm,1983-07-26,237.12,1983,1980,24.974674880219027
198,3:57.13,Sifan Hassan,NED,1993-01-01,3,Saint-Denis,2016-08-27,237.13,2016,2010,23.652292950034223
199,3:57.15,Lang Yinglai,CHN,1979-08-22,1h1,Shanghai,1997-10-17,237.15,1997,1990,18.154688569472963
199,3:57.15,Sarah Healy,IRL,2001-02-13,2,Paris,2025-06-20,237.15,2025,2020,24.347707049965777
201,3:57.20,Sarah Healy,IRL,2001-02-13,6,Eugene,2025-07-05,237.2,2025,2020,24.38877481177276
202,3:57.22,Maricica Puica,ROU,1950-07-29,1,Bucuresti,1984-07-01,237.22,1984,1980,33.92470910335387
202,3:57.22,Jennifer Simpson,USA,1986-08-23,2,Saint-Denis,2014-07-05,237.22,2014,2010,27.865845311430526
202,3:57.22,Sifan Hassan,NED,1993-01-01,2,Bruxelles,2017-09-01,237.22,2017,2010,24.6652977412731
202,3:57.22,Jessica Hull,AUS,1996-10-22,4,Paris,2026-06-28,237.22,2026,2020,29.68104038329911
206,3:57.24,Mary Slaney,USA,1958-08-04,1,Bruxelles,1985-08-30,237.24,1985,1980,27.071868583162217
207,3:57.26,Susan Ejore-Sanders,KEN,1995-11-09,6,Paris,2024-07-07,237.26,2024,2020,28.659822039698838
207,3:57.26,Freweyni Hailu,ETH,2001-02-12,4,Bruxelles,2024-09-14,237.26,2024,2020,23.586584531143053
207,3:57.26,Abbey Caldwell,AUS,2001-07-03,1,Xiamen,2026-05-23,237.26,2026,2020,24.8870636550308
210,3:57.27,Jiang Bo,CHN,1977-03-13,2h1,Shanghai,1997-10-17,237.27,1997,1990,20.5968514715948
210,3:57.27,Linden Hall,AUS,1991-06-20,5,Chorzów,2023-07-16,237.27,2023,2020,32.07118412046543
212,3:57.29,Yuliya Chizhenko,RUS,1979-08-30,2,Rieti,2006-08-27,237.29,2006,2000,26.99247091033539
212,3:57.29,Jessica Hull,AUS,1996-10-22,3,Firenze,2023-06-02,237.29,2023,2020,26.60917180013689
214,3:57.30,Jennifer Simpson,USA,1986-08-23,4,Monaco,2015-07-17,237.3,2015,2010,28.89801505817933
214,3:57.30,Hirut Meshesha,ETH,2001-01-20,1,Rabat,2022-06-05,237.3,2022,2020,21.371663244353183
216,3:57.31+,Genzebe Dibaba,ETH,1991-02-08,1,Rovereto,2016-09-06,237.31,2016,2010,25.57700205338809
216,3:57.31,Weronika Lizakowska,POL,1998-11-02,7s2,Saint-Denis,2024-08-08,237.31,2024,2020,25.765913757700204
218,3:57.33,Freweyni Hailu,ETH,2001-02-12,1,Hengelo,2021-06-08,237.32999999999998,2021,2020,20.317590691307323
218,3:57.33,Freweyni Hailu,ETH,2001-02-12,6,Tokyo,2025-09-16,237.32999999999998,2025,2020,24.591375770020534
220,3:57.34,Shelby Houlihan,USA,1993-02-08,1,Lausanne,2018-07-05,237.34,2018,2010,25.401779603011637
221,3:57.35,Nelly Chepchirchir,KEN,2003-06-04,3,Bruxelles,2025-08-22,237.35,2025,2020,22.217659137577
222,3:57.38,Diribe Welteji,ETH,2002-05-13,1,Ostrava,2023-06-27,237.38,2023,2020,21.12251882272416
223,3:57.4,Totka Petrova,BUL,1956-12-17,1,Athínai,1979-08-11,237.4,1979,1970,22.647501711156742
223,3:57.4,Yekaterina Podkopayeva,RUS,1952-06-11,5,Moskva,1980-07-06,237.4,1980,1980,28.0684462696783
223,3:57.40,Suzy Favor Hamilton,USA,1968-08-08,1,Oslo,2000-07-28,237.4,2000,2000,31.969883641341546
